factory,pool,token_x,token_y,bin_step,creation_block
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x1f20f0895df44d33cf8144a52de811871a21ef4b,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,1,70423468
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x1f9d94c13c9d9a3b67d62c15df9d135321c741ea,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,10,71044526
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2093a6fd094124a55f180dcea5033c3bf481100e,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x779ded0c9e1022225f8e0630b35a9b54be713736,1,90824058
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2108859ee809c9136595ea057f8239ead618b3fa,0x8b1f5ec3fa18ca8366de7cee9205b2d8e7b8450d,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,66775488
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x23b139ab960e2d64cb247edda8631b64e7a859d4,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,72709543
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2510336efb2e9ef96a78076615e923fff6caf608,0xdfc9409978bf6e5db656b24e0b6b1623d4adf12b,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,67975214
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x25a1673e0d8d904aaeb93b7964a716887320cdd6,0x8b1f5ec3fa18ca8366de7cee9205b2d8e7b8450d,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,25,64301609
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x25b5bc9b96798862229dba332e180b4a985a0c8c,0x6e8d35248fe5216ae9e18def25fcc88a53ffc353,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,86390655
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2612e3280ca8836f58173bf7ecc35e258dc1b54b,0xc96de26018a54d51c097160568752c4e3bd6c364,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,25,71044526
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x28aaf4323bab4caf4c954534f048f92d0c42b78f,0x58538e6a46e07434d7e7375bc268d3cb839c0133,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,64048188
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x28ed532f2ba3bf04d812c2cc7871c6573eb4409e,0x29cc30f9d113b356ce408667aa6433589cecbdca,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,90383937
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x29350f5442f1335ee5bb7f9ea9d623bdd171d679,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,90517653
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2adc49c5c0eeda219b7bb24016c0cfcca0992294,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,76035545
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2aeeafc93100206af601849f7c4467499247b7a4,0x90700b3fd68021398d09ca97f3e1c72e9177714d,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,86467770
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2b63608e3ffcde05789bd11e6ba64f37cfa513c5,0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07,0x4515a45337f461a11ff0fe8abf3c606ae5dc00c9,100,62270011
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2d7bf73aa7a5806f56e785ccec2c9a60c53f9d10,0xd2b4c9b0d70e3da1fbdd98f469bd02e77e12fc79,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,1,70740923
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2deaa7322f24cf8878e953e4955d5c2cd8573fe3,0x4515a45337f461a11ff0fe8abf3c606ae5dc00c9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,72557907
