protocol,factory,pool,token0,token1,fee_tier,bin_step,creation_block
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x1606c79be3ebd70d8d40bac6287e23005cfbefa2,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,10,69701772
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x16c382c154dcf71e0110ee0c2b83f5982cb0c58c,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x779ded0c9e1022225f8e0630b35a9b54be713736,,10,90824058
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x1f20f0895df44d33cf8144a52de811871a21ef4b,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,1,70423468
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x1f9d94c13c9d9a3b67d62c15df9d135321c741ea,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,,10,71044526
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2093a6fd094124a55f180dcea5033c3bf481100e,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x779ded0c9e1022225f8e0630b35a9b54be713736,,1,90824058
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x365722f12ceb2063286a268b03c654df81b7c00f,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,25,62270011
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x368b148052a1a775dbe70e56d04474e54c694cac,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x779ded0c9e1022225f8e0630b35a9b54be713736,,1,90824058
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x38e2a053e67697e411344b184b3abae4fab42cc2,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,,20,72555602
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3b6c029e6409f2868769871f9ed6825b15bdca15,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,2,62270011
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3d887ce4988fb46aec6e0027171f65db3526e5f1,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,1,70423468
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3f0047606dcad6177c13742f1854fc8c999cd2b6,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,10,63567523
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x451368c461f9f4a70c434576b31ed5f258e765f5,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,100,69427042
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x48c1a89af1102cad358549e9bb16ae5f96cddfec,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,1,62270011
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x5a59359a1ad9b0a59aa70145dfeceb6d9ee07253,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,,1,70740923
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x5d54d430d1fd9425976147318e6080479bffc16d,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,25,70994078
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x74db2eb31d4b5a0522d3c2eb6dbd87aac21745f9,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,,10,65983600
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7ccd8a769d466340fff36c6e10ffa8cf9077d988,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,1,61786274
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7e78b65d0525339df5f4aa22b82d9e97584da8fc,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,,1,72555602
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x86aa95df876b67373eba42763a9c601d9818cffc,0x9f0c013016e8656bc256f948cd4b79ab25c7b94d,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,,100,71081256
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x91c5aee46eba5f6b38b962ee248b9cef04b05244,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,10,71044526
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x9ee2a2f30932e3633f0e2fca91eff4cb0bf814c4,0x9f0c013016e8656bc256f948cd4b79ab25c7b94d,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,100,71026333
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xa15c851afc33aab6e478d538a4a8c66cacc19686,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,10,62613184
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xaa5b9a9b7804d7748b385f758efb266aa780a982,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,10,70423468
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xc0729cde19741de280b230d650f0fdad2ad79d09,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x779ded0c9e1022225f8e0630b35a9b54be713736,,25,90824058
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xc5a93b4df056e425a577b145bd06766d02223830,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0x779ded0c9e1022225f8e0630b35a9b54be713736,,100,95909262
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xcc631a92a5538646db422c9fffbc6ea48cd2243a,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,10,70423468
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xccf72369a2ed02f1185e2055544a89b2d48269b8,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,,20,72555602
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xef61d2e796901c7137bb1952c787a8fe36ec00c1,0x9f0c013016e8656bc256f948cd4b79ab25c7b94d,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,,20,71044526
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xf0601aa87a7341a38034b49f9517dd3adc2ddec4,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,1,71061275
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xf53b930d94d687b7de1562beedfe7e31934dbd6a,0x9f0c013016e8656bc256f948cd4b79ab25c7b94d,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,,10,71177010
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xf59c79b91877c2b5909e703117beab9b4b5df0d6,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,10,62270011
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xf6c9020c9e915808481757779edb53daceae2415,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,15,61746701
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xf82ea495de6ac4e436898a726bfe5e271c3657aa,0x9f0c013016e8656bc256f948cd4b79ab25c7b94d,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,20,71029530
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xfc9d88653e2988b0e6525f1f521c974a25c88566,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x779ded0c9e1022225f8e0630b35a9b54be713736,,1,87844244
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xfe99af0cc615d46a4b5b48dfe0478ffe74b2027a,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,,10,71044526
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0xff60fb8f429870ce4109aef3a4b7b33acb90b01b,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x779ded0c9e1022225f8e0630b35a9b54be713736,,25,90824058
