measuring at chain_id=5000 block=98969898 block_hash=0x77e9802850e09580e8527b3ea75ed93510331e91339b8272af4ed5660ef76374 executor_code_hash=0x50f51b776f893c4c86573ec5d669a1be3e84b3eef9817960376ba59ace2826ef
moe+v3 3000mWMNT displace -> h2:moe+v3:ticks=0:bins=0 success
moe+v3 10000mWMNT inflate -> h2:moe+v3:ticks=0:bins=0 success
moe+v3 10000mWMNT displace -> h2:moe+v3:ticks=0:bins=0 success
moe+v3+moe 10mWMNT inflate -> h3:moe+v3+moe:ticks=0:bins=0 success
moe+v3+moe 30mWMNT inflate -> h3:moe+v3+moe:ticks=0:bins=0 success
moe+v3+moe 100mWMNT inflate -> h3:moe+v3+moe:ticks=0:bins=0 success
moe+v3+moe 300mWMNT inflate -> h3:moe+v3+moe:ticks=0:bins=0 success
moe+v3+moe 1000mWMNT inflate -> h3:moe+v3+moe:ticks=0:bins=0 success
moe+v3+moe 3000mWMNT inflate -> h3:moe+v3+moe:ticks=0:bins=0 success
moe+v3+moe 10000mWMNT inflate -> h3:moe+v3+moe:ticks=0:bins=0 success
moe+v3+v2 10mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 30mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 100mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 300mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 1000mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 3000mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 10000mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 10mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 30mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 100mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 300mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 1000mWMNT v2_boost -> h3:moe+v3+v2:ticks=0:bins=0 success
moe+v3+v2 3000mWMNT v2_boost -> h3:moe+v3+v2:ticks=1-5:bins=0 success
moe+v3+v2 10000mWMNT v2_boost -> h3:moe+v3+v2:ticks=1-5:bins=0 success
moe+v3+v3 10mWMNT inflate -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 10mWMNT displace -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 30mWMNT inflate -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 30mWMNT displace -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 100mWMNT inflate -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 100mWMNT displace -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 300mWMNT inflate -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 300mWMNT displace -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 1000mWMNT inflate -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 1000mWMNT displace -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 3000mWMNT inflate -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 3000mWMNT displace -> h3:moe+v3+v3:ticks=1-5:bins=0 success
moe+v3+v3 10000mWMNT inflate -> h3:moe+v3+v3:ticks=0:bins=0 success
moe+v3+v3 10000mWMNT displace -> h3:moe+v3+v3:ticks=1-5:bins=0 success
v2+moe 10mWMNT v2_boost -> h2:v2+moe:bins=0 success
v2+moe 30mWMNT v2_boost -> h2:v2+moe:bins=1-3 success
v2+moe 100mWMNT v2_boost -> h2:v2+moe:bins=4-10 success
v2+moe 300mWMNT v2_boost -> h2:v2+moe:bins=11+ success
v2+moe 10mWMNT v2_boost -> h2:v2+moe:bins=0 success
v2+moe 30mWMNT v2_boost -> h2:v2+moe:bins=1-3 success
v2+moe 100mWMNT v2_boost -> h2:v2+moe:bins=4-10 success
v2+moe 300mWMNT v2_boost -> h2:v2+moe:bins=11+ success
v2+moe+moe 10mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 30mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 100mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 300mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 1000mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 3000mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 10mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 30mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 100mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 300mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 1000mWMNT v2_boost -> h3:v2+moe+moe:bins=0 success
v2+moe+moe 3000mWMNT v2_boost -> h3:v2+moe+moe:bins=1-3 success
v2+moe+moe 10000mWMNT v2_boost -> h3:v2+moe+moe:bins=4-10 success
v2+moe+moe 10mWMNT v2_boost -> h3:v2+moe+moe:bins=1-3 success
v2+moe+moe 30mWMNT v2_boost -> h3:v2+moe+moe:bins=1-3 success
v2+moe+moe 100mWMNT v2_boost -> h3:v2+moe+moe:bins=1-3 success
v2+moe+moe 300mWMNT v2_boost -> h3:v2+moe+moe:bins=1-3 success
v2+moe+moe 1000mWMNT v2_boost -> h3:v2+moe+moe:bins=1-3 success
v2+moe+moe 3000mWMNT v2_boost -> h3:v2+moe+moe:bins=1-3 success
v2+moe+v3 10mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 30mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 100mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 300mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 1000mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 3000mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 10000mWMNT v2_boost -> h3:v2+moe+v3:ticks=1-5:bins=1-3 success
v2+moe+v3 30000mWMNT v2_boost -> h3:v2+moe+v3:ticks=1-5:bins=1-3 success
v2+moe+v3 100000mWMNT v2_boost -> h3:v2+moe+v3:ticks=1-5:bins=11+ success
v2+moe+v3 10mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 30mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 100mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 300mWMNT v2_boost -> h3:v2+moe+v3:ticks=0:bins=0 success
v2+moe+v3 1000mWMNT v2_boost -> h3:v2+moe+v3:ticks=1-5:bins=0 success
v2+moe+v3 3000mWMNT v2_boost -> h3:v2+moe+v3:ticks=1-5:bins=0 success
v2+moe+v3 10000mWMNT v2_boost -> h3:v2+moe+v3:ticks=6-20:bins=0 success
v2+moe+v3 30000mWMNT v2_boost -> h3:v2+moe+v3:ticks=21+:bins=0 success
